Business_ID,Name,Address,Rating,Latitude,Longitude
ChIJAAAAAERVhIARYeTLvbbzAxs,The French Laundry,"6640 Washington St, Yountville, CA 94599, Estados Unidos",4.6,38.4044403,-122.3649712
ChIJS9apoOVJvoAR-kClYVR50rQ,Copper Top BBQ,"442 N Main St, Big Pine, CA 93513, Estados Unidos",4.7,37.1696533,-118.2893299
ChIJx1ULhNCAhYARSRq9NDWTeqI,Atelier Crenn,"3127 Fillmore St, San Francisco, CA 94123, Estados Unidos",4.7,37.7983395,-122.4358946
ChIJV1Jh6D0swoAR91X9Wvdy1lg,Coyote Cafe,"7035 California City Blvd Ste B, California City, CA 93505, Estados Unidos",4.6,35.1262216,-118.0018848
ChIJQ6wfJEXHwoARfFSRniqYlO0,California Grill,"800 Virgil Ave, Los Angeles, CA 90029, Estados Unidos",4.4,34.0857415,-118.2866573
ChIJ35s8TavcwoAR_q-zJgooQ8U,Top Restaurant,"1842 E Colorado Blvd, Pasadena, CA 91107, Estados Unidos",4.6,34.1455848,-118.1123829
ChIJuVj36IE1lIARMgoG96G9sP4,Broken Arrow Restaurant,"37302 Rancheria Ln, Auberry, CA 93602, Estados Unidos",4.7,37.0832304,-119.4645079
ChIJgSYN6T0swoAR7o6Z8BSel4s,Gloria's Mexican Restaurant,"7027 California City Blvd, California City, CA 93505, Estados Unidos",4.4,35.126221,-118.0020084
ChIJM-l9L12aP44RJUCs_3FRpjI,The Market Bogotá,"Cl. 73 #8 60, Bogotá, Colombia",4.5,4.6569423,-74.0554736
ChIJWa9vSlsswoARsobFlPDNYcc,Green Tea Garden,"8126 California City Blvd, California City, CA 93505, Estados Unidos",4.5,35.1251486,-117.9830401
ChIJJxMntEQswoARe23Jm5U6vbA,Golden Bamboo Restaurant,"8142 California City Blvd, California City, CA 93505, Estados Unidos",4.6,35.1251493,-117.9827037
ChIJQU2ZoZOaP44RYZ4Hr4hPImU,Delicias California,"Cra. 15 #93B-28, Chapinero, Bogotá, Colombia",4.5,4.6796922,-74.0502522
ChIJ9fGVkdWbP44RiTjSjSZNqQc,Californian 's food & fruits,"Tv. 94 #80 32, Bogotá, Colombia",4.2,4.706561799999999,-74.1072658
ChIJi3jcmuWaloARkqsIxHjDRXs,Jackalope's Bar and Grill,"1122 CA-41, Fish Camp, CA 93623, Estados Unidos",4.1,37.4730335,-119.634857
ChIJwwQZyJlW2YARG84uNLddhLM,Alforon Mediterranean / Lebanese Cuisine,"5965 El Cajon Blvd, San Diego, CA 92115, Estados Unidos",4.6,32.7601349,-117.0690336
ChIJNwilb1sswoARsM8geL1flDw,West Best Pizza Company,"8209 California City Blvd, California City, CA 93505, Estados Unidos",4.3,35.1262276,-117.9814114
ChIJEeuIpJaZP44RC26iqe1Tqk8,HOLLYWOOD FAST FOOD,"Cra. 6 #32-01, Santa Fé, Bogotá, Cundinamarca, Colombia",4.7,4.6181352,-74.0669367
ChIJ9QV7msGbP44R7satbkEESWw,Boru Food y Sushi - Normandia,"Ac 53 #71-22 D.c, Engativá, Bogotá, Cundinamarca, Colombia",5,4.6698698,-74.10511740000001
ChIJ_wTMh9RU2YAR9VKJXv7o8Fw,Jo's Diner,"807 W Washington St, San Diego, CA 92103, Estados Unidos",4.6,32.7497068,-117.1707259
ChIJlRBe8bubP44RUJYXzybZdQc,Ko Asian Kitchen,"Cl. 93a #12-35, Bogotá, Colombia",4.6,4.6763375,-74.04865819999999
ChIJgzumxyKFP44RRDAqzczqJPo,Tacos baja California restaurante,"Cra. 49b #173-07, Bogotá, Colombia",4.9,4.7545993,-74.0495335
ChIJmafVcpefP44RKIZH0ZI6Hxc,Restaurante California - El Rincón de la Estancia - Galicia.,"Cl. 60a Sur #73j-22, Cdad. Bolívar, Bogotá, Cundinamarca, Colombia",4.2,4.591953999999999,-74.17219899999999
ChIJ92dFqrb_24ARmqKp3qGgm7s,Tahini Authentic Middle Eastern Street Food,"9119 Clairemont Mesa Blvd Suite H, San Diego, CA 92123, Estados Unidos",4.7,32.8309707,-117.1328836
ChIJmflLbf0olIARxj6q144dbHY,Casa Velasco Mexican Restaurant,"54311 Rd 432, Bass Lake, CA 93604, Estados Unidos",4.6,37.3206702,-119.5583781
ChIJ3e7Lis9jt4kRtwiOnsh9zBE,LongHorn Steakhouse,"23054 Three Notch Rd, California, MD 20619, Estados Unidos",4.4,38.3012896,-76.51383410000001
ChIJ_0RLFj44hIARCHVVOggZ3s4,Taqueria Molcajetes,"1195 W College Ave, Santa Rosa, CA 95401, Estados Unidos",4.3,38.4463889,-122.7408333
ChIJv7DVsVmFP44Rt-5MeZ92U1A,Yugo_Food,"Cl. 128b #45b-06, Suba, Bogotá, Cundinamarca, Colombia",4.8,4.714077899999999,-74.0543476
ChIJdcKXt6OdP44R5Nyhu7MU6Rs,Taqueria California restaurante,"Cra90, Av. El Tintal #6a-47, Bogotá, Colombia",4.4,4.6485968,-74.1592561
ChIJtwysurAng4ARGi7ELhAJwQA,The Rawbar Restaurant & Sushi,"346 Broadway St, Chico, CA 95928, Estados Unidos",4.4,39.728322,-121.8399452
ChIJZ_0fMM5jt4kRq0AfSMla2tU,Cracker Barrel Old Country Store,"45315 Abell House Ln, California, MD 20619, Estados Unidos",4.2,38.2990915,-76.5091241
ChIJDRPGEwaFP44RdRZXL2StiUc,Sushi Fans Suba,"Cra. 103f #151A-03, Suba, Bogotá, Cundinamarca, Colombia",4.8,4.7507779,-74.0933203
ChIJSVPbhutjt4kRYmH8tZ9jyso,Outback Steakhouse,"23415 Three Notch Rd, California, MD 20619, Estados Unidos",4,38.311977,-76.535215
ChIJ432Aws1jt4kRmB5qMMA8Z-k,Red Robin Gourmet Burgers and Brews,"45305 Abell House Ln, California, MD 20619, Estados Unidos",4,38.299327,-76.5097565
ChIJHby_lyBit4kRWGXTrDaxne4,Asahi Japanese Steak & Seafood,"22576 MacArthur Blvd #302, California, MD 20619, Estados Unidos",4.4,38.2863965,-76.4843984
ChIJI611kUSaP44Ra4JW44BQGa0,Takuma,"Cra. 11 #69-76, Bogotá, Colombia",4.9,4.654612,-74.06035179999999
ChIJlxMszfSaP44RkW1l_XWn5B0,Osaka Bogotá,"Kr 13 #8525, Bogotá, Colombia",4.7,4.6694808,-74.0536517
ChIJk7poeBaFP44R6z5_eb2_8C4,El Refugio Gourmet,"Cra. 53b #131a-85, Suba, Bogotá, Cundinamarca, Colombia",4.7,4.7201191,-74.059362
ChIJV3L39k6FP44RIxvrYcL_p-8,Hannashu cheff,"Cl. 132c #91-59, Suba, Bogotá, Cundinamarca, Colombia",4.9,4.7321535,-74.0872495
ChIJ432Aws1jt4kRb1o43b4tXe8,Olive Garden Italian Restaurant,"45265 Abell House Ln, California, MD 20619, Estados Unidos",4.3,38.2997409,-76.5107088
ChIJd94bPpeFP44RVgRhxWeHDQE,Tacos Baja California (Tacos b.c),"Cra. 13a #79 - 52, Bogotá, Colombia",5,4.665460899999999,-74.0560713
ChIJ-V45xexW2YARB4cwp4g8Ylo,Chuy's Taco Shop,"6663 El Cajon Blvd G, San Diego, CA 92115, Estados Unidos",4.6,32.7676058,-117.0550275
ChIJ66g24VODP44Rh_PjRF4GckU,Boru Food Y Sushi - Sede Villas de Granada,"Cl. 75 #112b - 14, Engativá, Bogotá, Cundinamarca, Colombia",4.4,4.7156398,-74.125243
ChIJzZzASvWaP44RF2U2wds2Tno,Watakushi,"Cra. 12 #83-17, Chapinero, Bogotá, Cundinamarca, Colombia",4.6,4.6674494,-74.053527
ChIJHby_lyBit4kR3xVPYs45I0w,Bollywood Masala,"23418 Three Notch Rd, California, MD 20619, Estados Unidos",4.4,38.3109848,-76.5322329
ChIJ2zHs4aeaP44RuKuq37NjiLs,Koi by Watakushi,"Cl. 119 #6a-17, Bogotá, Colombia",4.6,4.6957543,-74.0314029
ChIJuTYqPSFit4kRFy5CViHph8g,Teariffic Cafe,"22576 MacArthur Blvd #370, California, MD 20619, Estados Unidos",4.5,38.2880845,-76.4831183
ChIJ1-d0ovybP44Rqsu4usoC2zI,Ko Asian Kitchen Unicentro,"Cra. 15 #124-30, Usaquén, Bogotá, Cundinamarca, Colombia",4.5,4.7022765,-74.04196929999999
ChIJv6DH4E5HlIARnVfxp8sfo8M,Sukai,"777 Jackpot Ln, Friant, CA 93626, Estados Unidos",3.6,36.9856228,-119.6467466
ChIJbXx6oyuFP44RvJvOdCSa9WY,Jaime Gourmet,"Suba, Bogotá, Colombia",4.6,4.710544,-74.0734597
ChIJM1sfKcedP44RcaIhq7gC3Ho,La Californiana Burger Bar,"La Felicidad, Carrera 78 con 18a, Bogotá, Colombia",5,4.6549382,-74.1303106
ChIJyYXZ9rybP44RisUp9ocq93o,Viva la Vida,"Cra. 45 #114-44, Usaquén, Bogotá, Cundinamarca, Colombia",4.6,4.698264600000001,-74.05470590000002
ChIJs-Mr2xSbP44R5hvmopPB0-E,Greenbox California,"Centro Comercial Gran Estacion II, Av. La Esmeralda #24 - 09, Bogotá, Colombia",4.3,4.6468165,-74.10312309999999
ChIJSZyiaqWFP44RZniUQU8SLNk,Fukushi Fusión,"Calle 169B#67-61, Bogotá, Colombia",4.6,4.7546542,-74.0633341
ChIJSVPbhutjt4kRcGSf__E6fTU,Okada Japanese Steak & Seafood,"23415 Three Notch Rd #2015, California, MD 20619, Estados Unidos",4.2,38.3088889,-76.5338889
ChIJ57dbC1CaP44Ro0pG4k34aww,Coctel Del Mar,"Cra 19 #69-24, Barrios Unidos, Bogotá, Colombia",4.5,4.6576891,-74.06546019999999
ChIJyatyfRuFP44Ri39DcOJ3YPY,Wok for Lunch,"Cl. 137 #45 a -69, Bogotá, Colombia",4.6,4.722455399999999,-74.05275
ChIJXUSNxVsswoAR9hvQWwW_W6c,Jesse's Pizza,"8401 California City Blvd, California City, CA 93505, Estados Unidos",4,35.1263263,-117.9783036
ChIJbU4Ea2fd3IAR9TRDx_A_ZKE,California Dining Services,"15955 Alton Pkwy, Irvine, CA 92618, Estados Unidos",0,33.658459,-117.7627949
2g3Af4y33ZMBLJzulZvbzQ,Mountain Oaks Cafe,"40282 CA-41, Unit 9, Oakhurst, CA 93644",4.7,37.3332671629224,-119.6508896
UAVRQRI52qclZPyHE_kWpA,Hideout Saloon,"5031 State Hwy 140, Ste F, Mariposa, CA 95338",4.3,37.4848079,-119.9654933
6zzzmpb5FlF4yTi8VnWcIw,Buckhorn Saloon,"32992 Rd 222, North Fork, CA 93643",4.0,37.22721,-119.51001
gwANdrsPZr3ZVAqN52vwqg,The Elderberry House,"48688 Victoria Ln, Oakhurst, CA 93644",4.5,37.327100397143525,-119.66091834110446
a7QtM-9nN1W_eN8IUni6Jw,Mono Inn,"55620 Hwy 395, Lee Vining, CA 93541",5.0,38.00912336600738,-119.1543856618969
Ee3db0MVJ_fW-ChXmXoTtQ,Provisions Restaurant & Bar,"18767 Main St, Groveland Hotel, Groveland, CA 95321",4.6,37.83926,-120.22946
O7jIKYL3p_MNl6alOMeL3Q,North Fork BBQ,"32754 Rd 222, North Fork, CA 93643",4.8,37.2228645809218,-119.51036793036953
_2TZqeKiJC_qWH9QmITmmw,Aroma Tavern,"42136 Tollhouse Rd, Shaver Lake, CA 93664",3.9,37.110623077149135,-119.3202929
8rmEBlB0_qBSy0P3u-kWjw,Wild Fig Kitchen,"35300 Hwy 41, Ste 110, Coarsegold, CA 93614",4.6,37.2622980132899,-119.700374975394
ztO9uuR8yQIOFCveEBW2MA,The Trading Post,"41760 Tollhouse Road, Shaver Lake, CA 93664",3.8,37.10662108946257,-119.31952960340747
HUL6rCJwpFOiSdk4p4wn0w,Tollhouse Market And Grill,"28524 Tollhouse Rd, Tollhouse, CA 93667",4.7,37.01699,-119.4002011
mv5ftJ5xlMDEp9ORBYX7Tw,Idle Hour Winery & Kitchen,"41139 Hwy 41, Oakhurst, CA 93644",4.6,37.34646,-119.64199
Yf741qv9lkVQzG636pVIGg,Matsumoto Samurai's Kitchen,"49777 Road 427, Oakhurst, CA 93644",4.9,37.33044995927256,-119.64015846719543
l_D9msy8yEAb00dPZiqfIA,June Bug Cafe,"6979A Hwy 140, Midpines, CA 95345",4.4,37.5744737298908,-119.951261111075
O7A7Z752I1YVA-f4rmofHA,The Coulter Cafe,"5015 Main St, Coulterville, CA 95311",4.6,37.71154523327717,-120.19644038671352
evvHPzi5m9jv5W6k6MOWXg,The Sawmill,"41203 Tollhous Rd, Shaver Lake, CA 93664",4.0,37.09943600798667,-119.3181149
FHj17k6eaVWw7CucGH9p0g,Around The Horn Brewing Company,"17820 CA-120, Groveland, CA 95321",4.7,37.827309,-120.2523095
GPP5E-f1dzAN08jNogYCjw,Smokehouse 41,"40713 Hwy 41, Oakhurst, CA 93644",4.5,37.33914,-119.64334
XSHsil7xXXZa3sGbgQE1Sg,The Branch,"22975 Joaquin Gully Rd, Twain Harte, CA 95383",4.8,38.03853,-120.22937
wxxwP_KNJVQe-fmRP2_jxg,Harvest Garden Cafe,"28400 Yosemite Springs Pkwy, Coarsegold, CA 93614",4.8,37.16147138105747,-119.7482896441756
ATkCKERRTMgTWvi5UC7u4w,Indiego Tasting House,"2270 N Sierra Hwy, Bishop, CA 93514",4.9,37.37533,-118.41602
Y58wkqUQ_-Kz8_o8qnP15A,Charles Street Dinner House,"5043 Hwy 140 And 7th St, Mariposa, CA 95338",4.3,37.485457,-119.966128
NeXn0ug6aw3zplFbPW7lzg,Blue Heron Restaurant & Yosemite Grill,"30250 Yosemite Springs Pkwy, Coarsegold, CA 93614",4.3,37.1862495,-119.76989763247032
Hzf0UM_Am0w7LHBxLaxSOg,Bee’s Bakery Cafe,"40250 Junction Dr, Oakhurst, CA 93644",4.4,37.33371,-119.65864
eQ5r9GeRG1izbR9oQ2op_Q,Miller's Landing Resort,"37976 Rd 222, Bass Lake, CA 93669",4.3,37.298062,-119.536481
M6qUGNq8_25RUs8Q9KcLaQ,Ducey's on the Lake,"39255 Marina Dr, Bass Lake, CA 93604",3.9,37.3189103,-119.5570908
5dejzAItnpvuLTtsqN_APg,Casa Velasco Mexican Restaurant,"54311 Rd 432, Bass Lake, CA 93604",4.5,37.32073,-119.5586
bBLeD88rg-05Kq4zxVammA,Shaver Lake Pub N Grub,"41782 Dorabella Rd, Shaver Lake, CA 93664",3.8,37.1075958172791,-119.318211860955
D7reDCYI0Jb1zaHOnFzlpw,Kevin and Randi's Old Fashioned Meat Market,"18687 Main St, Ste B1, Groveland, CA 95321",4.9,37.8381411769351,-120.231421689373
A_7HXAZmYEEQDe8mk27urA,Oakhurst Grill and Whiskey 41 Lounge,"40530 Hwy 41, Oakhurst, CA 93644",4.1,37.33603980916658,-119.646133705974
hgZUMSrhohHkGKeCEiiy-A,South Gate Brewing Company,"40233 Enterprise Dr, Oakhurst, CA 93644",4.1,37.3331104,-119.660292
-dEUgu3MzsmZlGbpwH_QYQ,Orchard Bar & Grill,"1435 E Robertson Blvd, Chowchilla, CA 93610",4.4,37.125464152993594,-120.24592481407085
C4FVN7I-KiOe33_UDOwejg,Epic Cafe,"2758 Boulder Dr, June Lake, CA 93529",4.8,37.77786859996005,-119.07625746871936
PSacCYJb0FUav57iysYaVQ,Baker Mountain House,"48711 CA-245, Badger, CA 93603",4.8,36.61985,-119.01963
_XP2dfz-cflkHa7cmS1TrQ,Aroma Tavern and Buffalo Bar,"48571 CA-41, Fish Camp, CA 93623",4.0,37.45462,-119.64348
pjxKHAkJTBU4eDxc_gsJCQ,JW’s Original Restaurant,"59265 CA-168, Lakeshore, CA 93634",4.0,37.236519980269215,-119.15728167055484
_LgrnWh5idkjwg-tqKeWgg,Sierra Subs And Salads,"41651 Sierra Dr, Three Rivers, CA 93271",4.9,36.4382012,-118.9055969
h_6uEwJXVhrTKZkDKE8FZA,High Country Health Foods & Cafe,"5186 Ca-49, Mariposa, CA 95338",4.5,37.4931635880619,-119.974434792701
8owjHPc998a2CmRCLcxL-A,Priest Station Cafe,"16756 Old Priest Grade, Big Oak Flat, CA 95305",4.3,37.8138426,-120.272588
m9fnXXY_XVOnspwEVDWxkA,Harmony Brazilian Steakhouse & Bar,"106 Old Mammoth Rd, Mammoth Lakes, CA 93546",4.5,37.64458,-118.96645
avuM9ktjTXCd-onmv3yv7w,Sequoia Coffee Co.,"41669 Sierra Dr, Three Rivers, CA 93271",4.7,36.4385668999778,-118.905282095075
0k4TxhM4pJa74TuLpFC6BQ,Pinehurst Lodge,"53783 N Hwy 245, Miramonte, CA 93641",4.4,36.6972284,-119.0148133
L3SmpItBS_93g9FMItHHuA,Tony’s Taverna On Wheels,"42264 Sierra Dr, Three Rivers, CA 93271",4.9,36.4477667,-118.9005111
aEbC9m5SZC09gfNR2UYWxQ,Restaurant At Convict Lake,"2000 Convict Lake Rd, Mammoth Lakes, CA 93546",4.5,37.5980082466189,-118.85032722177614
5vpBgyKfGQzIZjl9ThA8Aw,Ursa,"436 Old Mammoth Rd, Mammoth Lakes, CA 93546",4.8,37.639844,-118.966821
tqo1WOpnT2nZQUJSUAIAFA,Vintage Steakhouse,"711 Lucky Ln, Coarsegold, CA 93614",4.2,37.21119224231153,-119.69965121520164
vuvJr6juxDm4ErDVx8m2CA,Hot Shot Coffee Shack,"33013 Rd 222, North Fork, CA 93643",4.7,37.22720321100668,-119.509352
1La1oaArkzNhHlE--8AsMg,The Copperpot Cafe,"6430 Greeley Hill Rd, Ste A & B, Coulterville, CA 95311",4.8,37.74419,-120.12884
Mc1NJalcHjaBot_hOi5vsw,Loretzeria Pizza,"32980 Auberry Rd, Auberry, CA 93602",5.0,37.073625,-119.4860833
mCFmTbIbTajERmduc_lL3g,Roadhouse,"1515 Smith St, Kingsburg, CA 93631",4.5,36.5155680446203,-119.55227716677253
